head|PRIORITY|MODULE|FIRM|MODEL|DESCR|PROTOCOL|MPATH|REQUIRES|AGGRESSIVE
data|050|netserial-default|Generico|NetSerial|COnnettore TCP per porta seriale||iif/netserial/default||true
data|050|omron-default|Omron|Inverter|Omron Inverters||iif/omron/default|modbus-default|true
data|050|qen-dmg210|QEn|DMG210|QEN QE DMG210||iif/qen/dmg210|modbus-default|true
data|050|qen-emu-2it|QEn|EMU-2IT|QEN QE EMU 2IT||iif/qen/emu-2it|modbus-default|true
data|050|qen-emu-3ea|QEn|EMU-3EA|QEN QE EMU 3EA||iif/qen/emu-3ea|modbus-default|true
data|050|qen-qe|QEn|QE|QEN QE System||iif/qen/qe|modbus-default|true
data|050|qen-upm209|QEn|UPM209|QEN QE UPM209||iif/qen/upm209|modbus-default|true
data|050|raspi-backup|Raspberry|Backup|Datalogger Config Backup||iif/raspi/backup||true
data|050|raspi|Raspberry|Diagnostic|Datalogger Disagnostics||iif/raspi/default||false
data|050|refusol-default|Refusol|Inverters|Refusol Inverters||iif/refusol/default||true
data|050|renu-gwy00b|RENU|gwy00b|RENU Gateway Interface||iif/renu/gwy00b|modbus-default|true
data|050|schuco-ipe|Schuco|IPEXX|Schuo IPEXX Inverters||iif/schuco/ipe|modbus-default|true
data|050|seneca-s604|Seneca|S604|ELECTRICAL MEASUREMENT||iif/seneca/s604|modbus-default|true
data|050|seneca-z4ai|Seneca|Z4AI|Seneca Z4AI Gateway Interface||iif/seneca/z4ai|modbus-default|true
data|050|setecna-mbotg|Setecna|MBOTG|Setecna Opentherm to Modbus Gateway||iif/setecna/mbotg|modbus-default|true
data|050|siel-csp-12|Siel|CSP-12|Siel CSP-12 Stringbox||iif/siel/csp-12|modbus-default|true
data|050|siel-dsp-soleil|Siel|Soleil|Siel Soleil Inverters||iif/siel/dsp-soleil|modbus-default|true
data|050|siemens-OZW672|Siemens|OZW672|Siemens OZW672 Web Interface||iif/siemens/OZW672||true
data|050|siemens-s7-sinvert|Siemens|S7 Sinvert|Siemens S7 Sinvert||iif/siemens/s7-sinvert||true
data|050|siemens-web-sinvert|Siemens|Weblog Sinvert|Siemens Weblog Sinvert||iif/siemens/web-sinvert||true
data|050|sma-default|SMA|SMA|SMANet SMA Inverters||iif/sma/default||true
data|050|sma-sunspec|SMA|Sunspec|SMA Series Inverter w Suspec||iif/sma/sunspec|modbus-default|true
data|050|socomec-countis|Socomec|Countis|Socomec Countis Energy Meter||iif/socomec/countis|modbus-default|true
data|050|socomec-default|Socomec|Socomec|Socomec Inverters||iif/socomec/default|modbus-default|true
data|050|solaredge-sunspec|Solardge|Sunspec|Solaredge Suspec Registers||iif/solaredge/sunspec|modbus-default|true
data|050|solarlog-modbus|Solarlog|Modbus|Solarlog Modbus Registers||iif/solarlog/modbus|modbus-default|true
data|050|solarmax2-default|Solarmax|Solarmax2|||iif/solarmax2/default||true
data|050|solarmax-default|Solarmax|Solarmax1|Solarmax Propietary Protocol||iif/solarmax/default||true
data|050|sunaway-tgxx|Sunaway|TGXX|Sunaway TGXX Inverters||iif/sunaway/tgxx|modbus-default|true
data|050|sungrow-default|Sungrow|TLK Modbus|TLK Inverters||iif/sungrow/default|modbus-default|true
data|050|sunguard-sensor|Sunguard|Sensor|Sunguard Sensor Box||iif/sunguard/sensor|modbus-default|true
data|050|sunguard-stringbox|Sunguard|Stringbox|Sunguard Stringbox||iif/sunguard/stringbox|modbus-default|true
data|050|sunmeter-default|Sunmeter|Sunmeter|Sunmeter Solarimeter||iif/sunmeter/default|modbus-default|true
data|050|szyft-sht20|SZYFT|SHT20|RS485 Tempereture/Humidity Sensor||iif/szytf/sht20|modbus-default|true
data|050|tecnint-ems-sau-mbs|Tecnint|EMS-SAU-MBS|Tecnint EMS Stringbox||iif/tecnint/ems-sau-mbs|modbus-default|true
data|000|a-teltonika-router|Teltonika|RUTXXX|SIM ID Traffic Stats Monitoring||iif/teltonika/RUTXXX||true
data|050|tem-sb-16|TEM|SB-16|TEM SB-16 Stringbox||iif/tem/sb-16|modbus-default|true
data|050|weidmuller-stringbox-16|Weidmuller|Stringbox|Weidmuller Stringbox 16||iif/weidmuller/stringbox-16|modbus-default|true
data|050|weidmuller-stringbox|Weidmuller|Stringbox|Weidmuller Stringboxes||iif/weidmuller/stringbox|modbus-default|true
data|050|xantrex-default|Xantrex|Xantrex|Xantrex Inverters||iif/xantrex/default|modbus-default|true
data|050|zucchetti-zcs-0140|Zucchetti|ZCS 1-40 kW|ZCS Azzurro Inverters 1 to 40kW||iif/zucchetti/zcs-0140|modbus-default|true
data|050|zucchetti-zcs-5070|Zucchetti|ZCS 50-70 kW|ZCS Azzurro Inverters 150 to 70kW||iif/zucchetti/zcs-5070|modbus-default|true
data|999|zysync-aggregator-interval|Json|Period Data Aggregator|Aggregate Data Between Poll Intervals||iif/zysync/aggregator-interval||true
data|999|zysync-aggregator-lastread|Json|Last Data Aggregator|Aggregate Last Data||iif/zysync/aggregator-lastread||true
data|999|zysync-cpartnership-interval|QEn|Send Cumulate Interval Data Read|Aggregate Custom Creative Partnership/QEN||iif/zysync/cpartnership-interval||true
data|999|zysync-cpartnership-lastread|QEn|Send Last Data Read|HTTPS Sync Custom Creative Partnership/QEN||iif/zysync/cpartnership-lastread||true
data|999|zzsync-enermanager-https|Enermanager|HTTPS2MQTT|HTTPS Sync via enermanager.it||iif/zzsync/enermanager-https||true
data|999|zzsync-enermanager-mqtt|Enermanager|MQTTVPN|MQTT Sync to Somotech HUB||iif/zzsync/enermanager-mqtt||true
data|999|zzsync-enermanager-rest|Enermanager|REST|MQTT Sync via REST/HTTPS||iif/zzsync/enermanager-rest||true
data|999|zzsync-sync-ftp|Enermanager|FTP|Sync via FTP||iif/zzsync/ftp||true
data|999|zzsync-local-api-mqtt|local|api|MQTT local api publish (v4/lastdata)||iif/zzsync/local-api-mqtt||true
data|999|zzsync-localdb-export|Enermanager|LocalDB Export|Export LocalDB (CSV/XLS)||iif/zzsync/localdb-export||true
data|999|zzsync-localdb-save|Enermanager|LocalDB Save|Save to local DB||iif/zzsync/localdb-save||true
data|999|zzsync-mqtt|Enermanager|MQTT|Sync via plain MQTT||iif/zzsync/mqtt||true
data|999|zzsync-mqtts|Enermanager|MQTTS|Sync via secure MQTT||iif/zzsync/mqtts||true
data|999|zzsync-http-resiot|ResIOT|RestAPI|HTTPS Sync to ResIOT||iif/zzsync/resiot-https||true
data|999|zzsync-zzalarms-mail-notify|Generico|ZZAlarm|Generatore allarmi e-mail su condizioni||iif/zzsync/zzalarms||true
